Unnamed: 0,URLS,Race,Gender,Disability,SOGI,Military,Age,Family,Religion,Company_Name
178,https://www.avnet.com/wps/portal/us/about-avnet/corporate-social-responsibility/diversity-equity-inclusion/,7.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0,Lumen Technologies
179,https://www.tenethealth.com/careers/life-at-tenet,9.0,8.0,1.0,7.0,0.0,1.0,3.0,0.0,Avnet
180,https://www.kimberly-clark.com/en-us/responsibility/diversity-and-inclusion,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,Tenet Healthcare
181,http://interactive.kohls.com/diversity-inclusion,15.0,12.0,6.0,10.0,2.0,3.0,4.0,0.0,Kimberly-Clark
182,https://www.blackrock.com/corporate/about-us/diversity-equity-and-inclusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kohl's
183,https://www.us.jll.com/en/careers/diversity-inclusion,25.0,12.0,6.0,2.0,3.0,2.0,7.0,1.0,BlackRock
184,https://www.lear.com/careers/diversity-equity-inclusion,19.0,3.0,0.0,6.0,4.0,7.0,0.0,0.0,Jones Lang LaSalle
185,https://www.lincolnfinancial.com/public/aboutus/companyoverview/ourstrategy/diversityinclusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lear
186,https://www.aboutschwab.com/diversity-and-inclusion,34.0,10.0,3.0,11.0,2.0,9.0,3.0,1.0,Lincoln National
187,https://corp.rossstores.com/responsibility/empowering-our-associates/our-commitment-to-diversity/,9.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,Charles Schwab
188,https://www.mastercard.us/en-us/vision/who-we-are/diversity-inclusion.html,5.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,Ross Stores
189,https://filecache.investorroom.com/mr5ir_genuineparts/327/GPC%202021%20Sustainability%20Report%20Update%2011.1.pdf,16.0,8.0,4.0,1.0,3.0,10.0,7.0,0.0,Mastercard
190,https://jobs.westrock.com/page/diversity-and-inclusion,8.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,Genuine Parts
191,https://www.eogresources.com/culture,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,WestRock
